p,distribution,ES
0.01,Normal,0.021263447352170565
0.01,Laplace,0.027950085925600995
0.01,Empirical,0.0309593839910785
0.02,Normal,0.019281591015071077
0.02,Laplace,0.023848947176877543
0.02,Empirical,0.02650912230337171
0.03,Normal,0.018041717184422528
0.03,Laplace,0.021644050591563897
0.03,Empirical,0.02399666912078386
0.04,Normal,0.01711919883714015
0.04,Laplace,0.019794176013290744
0.04,Empirical,0.02206833667441256
0.05,Normal,0.016375870821294564
0.05,Laplace,0.018627723103654157
0.05,Empirical,0.020577292790898316
0.060000000000000005,Normal,0.015748558502257783
0.060000000000000005,Laplace,0.017649455831666654
0.060000000000000005,Empirical,0.01938494890248445
0.06999999999999999,Normal,0.01520285729572086
0.06999999999999999,Laplace,0.01666554096036494
0.06999999999999999,Empirical,0.018359304281635114
0.08,Normal,0.014717871011675439
0.08,Laplace,0.015829089864880644
0.08,Empirical,0.017444623043161803
0.09,Normal,0.01427991663351367
0.09,Laplace,0.01526549941399619
0.09,Empirical,0.01659145342188825
0.09999999999999999,Normal,0.013879525763423285
0.09999999999999999,Laplace,0.014676675000914598
0.09999999999999999,Empirical,0.015830382253636695
